test_id,phase,candidates_tested,successful_candidates,first_success_rank,reported_location,candidate_order,result,notes
wasp,critical_line,3,2,1,ExecutorService$TrackingThreadPoolExecutor#308,"308;309;310",SUCCESS,"Successful lines: 308 and 310"
wasp,barrier,23,1,23,TestExecutorService#87,"109 down to 87",SUCCESS,"22 unsuccessful candidates before the successful barrier"
achilles,critical_line,6,3,2,ServerStarter#159,"156;159;162;163;164;165",SUCCESS,"Successful lines: 159, 162, and 163; reported region 159 through 163"
achilles,barrier,26,1,26,ControlConnection#207,"232 down to 207",SUCCESS,"25 unsuccessful candidates before the successful barrier"
uniffle,critical_line,0,0,,GrpcThreadPoolExecutor#177,,BEGINNING_OF_ROOT_FAILURE,"Failure was detected at the beginning of the root region; no individual line sequence"
uniffle,barrier,0,0,,,NO_VALID_REPAIR,"No successful barrier candidate was recorded"
luwak,critical_line,4,4,1,PartitionMatcher$MatcherWorker#131~138,"131;133;135;138",SUCCESS,"All four executed lines reproduced the failure"
luwak,barrier,93,0,,,"ConcurrentMatcherTestBase#113 down to #98; java.lang.reflect.Method#498 down to #422",INTERRUPTED,"Threshold 1; no success before user stopped the run"
delight-nashorn-sandbox,critical_line,5,5,1,JsEvaluator#53~68,"53;54;59;67;68",SUCCESS,"All five executed lines reproduced the failure"
delight-nashorn-sandbox,barrier,9,1,9,NashornSandboxImpl#233,"241 down to 233",SUCCESS,"Eight unsuccessful candidates before the successful barrier"
rxjava2-extras,critical_line,1,1,1,Flowables$4#306,306,SUCCESS,"The only executed critical candidate reproduced the failure"
rxjava2-extras,barrier,3,1,3,FlowablesTest#67,"69;68;67",SUCCESS,"JUnit frames had no resolved start line; two executed project candidates preceded success"
